Flare_ID,StartTime,PeakTime,EndTime,Class,ClassLetter,ClassNumber,ClassGroup,Observatory,StartPeak,PeakEnd,StartEnd,day,FAIalerts_W,FAIalerts_WStart,FAIalerts_WPeak,FAIalerts_StartPeak,FAIalerts_PeakEnd,FAIalerts_startEnd,AnticipationStart,AnticipationPeak,Peak_to_lastFAI,Time_since_prev_flare_end,Time_since_prev_flare_peak,RelAnticipation_Peak,RelAnticipation_Start
Flare_20000606_0,2000-06-06 00:28:00,2000-06-06 00:43:00,2000-06-06 00:55:00,C4.6,C,4.6,C1-4.9,GOES,15.0,12.0,27.0,2000-06-06,14,4,14,10,0,10,11.0,26.0,6.0,,,1.7333333333333334,0.7333333333333333
Flare_20000606_1,2000-06-06 01:30:00,2000-06-06 01:49:00,2000-06-06 02:01:00,C2.4,C,2.4,C1-4.9,GOES,19.0,12.0,31.0,2000-06-06,7,0,7,7,0,7,,16.0,1.0,54.0,66.0,0.8421052631578947,
Flare_20000606_3,2000-06-06 08:47:00,2000-06-06 08:51:00,2000-06-06 08:54:00,C2.4,C,2.4,C1-4.9,GOES,4.0,3.0,7.0,2000-06-06,0,0,0,0,0,0,,,,,,,
Flare_20000606_4,2000-06-06 11:23:00,2000-06-06 11:27:00,2000-06-06 11:29:00,C1.8,C,1.8,C1-4.9,GOES,4.0,2.0,6.0,2000-06-06,5,2,5,3,0,3,29.0,33.0,1.0,153.0,156.0,8.25,7.25
Flare_20000606_5,2000-06-06 11:40:00,2000-06-06 11:45:00,2000-06-06 11:51:00,C2.5,C,2.5,C1-4.9,GOES,5.0,6.0,11.0,2000-06-06,4,1,4,3,0,3,1.0,6.0,3.0,16.0,18.0,1.2,0.2
Flare_20000606_6,2000-06-06 12:00:00,2000-06-06 12:18:00,2000-06-06 12:25:00,C7.5,C,7.5,C5-9.9,GOES,18.0,7.0,25.0,2000-06-06,0,0,0,0,0,0,,,,27.0,33.0,,
Flare_20000606_7,2000-06-06 13:10:00,2000-06-06 13:19:00,2000-06-06 13:28:00,M2.7,M,2.7,M1-4.9,GOES,9.0,9.0,18.0,2000-06-06,3,3,3,0,0,0,14.0,23.0,21.0,54.0,61.0,2.5555555555555554,1.5555555555555556
Flare_20000606_8,2000-06-06 13:30:00,2000-06-06 13:39:00,2000-06-06 13:46:00,X1.1,X,1.1,X1-4.9,GOES,9.0,7.0,16.0,2000-06-06,0,0,0,0,0,0,,,,11.0,20.0,,
Flare_20000606_9,2000-06-06 13:56:00,2000-06-06 14:01:00,2000-06-06 14:11:00,M7.1,M,7.1,M5-9.9,GOES,5.0,10.0,15.0,2000-06-06,0,0,0,0,0,0,,,,15.0,22.0,,
Flare_20000606_10,2000-06-06 14:58:00,2000-06-06 15:25:00,2000-06-06 15:40:00,X2.3,X,2.3,X1-4.9,GOES,27.0,15.0,42.0,2000-06-06,0,0,0,0,0,0,,,,74.0,84.0,,
Flare_20000618_18,2000-06-18 01:52:00,2000-06-18 01:59:00,2000-06-18 02:03:00,X1.0,X,1.0,X1-4.9,GOES,7.0,4.0,11.0,2000-06-18,0,0,0,0,0,0,,,,,,,
Flare_20000618_19,2000-06-18 16:59:00,2000-06-18 17:03:00,2000-06-18 17:06:00,C1.4,C,1.4,C1-4.9,GOES,4.0,3.0,7.0,2000-06-18,2,1,2,1,0,1,5.0,9.0,1.0,,,2.25,1.25
Flare_20000711_20,2000-07-11 03:43:00,2000-07-11 03:48:00,2000-07-11 03:55:00,C7.6,C,7.6,C5-9.9,GOES,5.0,7.0,12.0,2000-07-11,3,3,3,0,0,0,13.0,18.0,16.0,,,3.6,2.6
Flare_20000711_21,2000-07-11 06:44:00,2000-07-11 06:47:00,2000-07-11 06:51:00,C5.7,C,5.7,C5-9.9,GOES,3.0,4.0,7.0,2000-07-11,7,7,7,0,0,0,25.0,28.0,12.0,172.0,179.0,9.333333333333334,8.333333333333334
Flare_20000711_22,2000-07-11 07:53:00,2000-07-11 07:57:00,2000-07-11 08:29:00,C4.7,C,4.7,C1-4.9,GOES,4.0,32.0,36.0,2000-07-11,4,1,4,3,0,3,1.0,5.0,2.0,66.0,70.0,1.25,0.25
Flare_20000711_23,2000-07-11 11:32:00,2000-07-11 11:41:00,2000-07-11 11:52:00,M4.2,M,4.2,M1-4.9,GOES,9.0,11.0,20.0,2000-07-11,5,4,5,1,0,1,28.0,37.0,9.0,,,4.111111111111111,3.111111111111111
Flare_20000711_25,2000-07-11 18:47:00,2000-07-11 18:58:00,2000-07-11 19:08:00,M1.1,M,1.1,M1-4.9,GOES,11.0,10.0,21.0,2000-07-11,7,7,7,0,0,0,30.0,41.0,24.0,,,3.727272727272727,2.727272727272727
Flare_20000711_26,2000-07-11 21:01:00,2000-07-11 21:06:00,2000-07-11 21:11:00,C7.3,C,7.3,C5-9.9,GOES,5.0,5.0,10.0,2000-07-11,4,4,4,0,0,0,30.0,35.0,27.0,118.0,128.0,7.0,6.0
Flare_20000711_27,2000-07-11 22:40:00,2000-07-11 22:44:00,2000-07-11 22:52:00,C5.5,C,5.5,C5-9.9,GOES,4.0,8.0,12.0,2000-07-11,9,7,9,2,0,2,19.0,23.0,3.0,93.0,98.0,5.75,4.75
Flare_20000712_28,2000-07-11 23:54:00,2000-07-12 00:09:00,2000-07-12 00:20:00,C6.8,C,6.8,C5-9.9,GOES,15.0,11.0,26.0,2000-07-12,3,0,3,3,0,3,,12.0,10.0,77.0,85.0,0.8,
Flare_20000712_29,2000-07-12 01:51:00,2000-07-12 01:58:00,2000-07-12 02:11:00,C5.3,C,5.3,C5-9.9,GOES,7.0,13.0,20.0,2000-07-12,3,3,3,0,0,0,20.0,27.0,25.0,98.0,109.0,3.857142857142857,2.857142857142857
Flare_20000712_30,2000-07-12 04:55:00,2000-07-12 05:02:00,2000-07-12 05:09:00,M1.2,M,1.2,M1-4.9,GOES,7.0,7.0,14.0,2000-07-12,2,2,2,0,0,0,3.0,10.0,9.0,171.0,,1.4285714285714286,0.42857142857142855
Flare_20000712_31,2000-07-12 09:11:00,2000-07-12 09:15:00,2000-07-12 09:17:00,C5.3,C,5.3,C5-9.9,GOES,4.0,2.0,6.0,2000-07-12,2,1,2,1,0,1,8.0,12.0,2.0,,,3.0,2.0
Flare_20000712_32,2000-07-12 10:18:00,2000-07-12 10:37:00,2000-07-12 10:46:00,X1.9,X,1.9,X1-4.9,GOES,19.0,9.0,28.0,2000-07-12,10,8,10,2,0,2,23.0,42.0,8.0,80.0,82.0,2.210526315789474,1.2105263157894737
Flare_20000712_33,2000-07-12 16:06:00,2000-07-12 16:52:00,2000-07-12 18:06:00,M1,M,1.0,M1-4.9,GOES,46.0,74.0,120.0,2000-07-12,7,0,7,7,0,7,,34.0,19.0,,,0.7391304347826086,
Flare_20000712_34,2000-07-12 18:41:00,2000-07-12 18:49:00,2000-07-12 19:07:00,M5.7,M,5.7,M5-9.9,GOES,8.0,18.0,26.0,2000-07-12,1,1,1,0,0,0,7.0,15.0,15.0,43.0,117.0,1.875,0.875
Flare_20000712_35,2000-07-12 21:37:00,2000-07-12 21:40:00,2000-07-12 21:43:00,M1.9,M,1.9,M1-4.9,GOES,3.0,3.0,6.0,2000-07-12,0,0,0,0,0,0,,,,153.0,171.0,,
Flare_20000714_36,2000-07-14 00:20:00,2000-07-14 00:23:00,2000-07-14 00:26:00,C4.9,C,4.9,C1-4.9,GOES,3.0,3.0,6.0,2000-07-14,0,0,0,0,0,0,,,,,,,
Flare_20000714_37,2000-07-14 00:39:00,2000-07-14 00:45:00,2000-07-14 00:50:00,M1.5,M,1.5,M1-4.9,GOES,6.0,5.0,11.0,2000-07-14,0,0,0,0,0,0,,,,19.0,22.0,,
Flare_20000714_38,2000-07-14 02:14:00,2000-07-14 02:17:00,2000-07-14 02:20:00,C6.1,C,6.1,C5-9.9,GOES,3.0,3.0,6.0,2000-07-14,11,11,11,0,0,0,29.0,32.0,12.0,87.0,92.0,10.666666666666666,9.666666666666666
Flare_20000714_39,2000-07-14 06:52:00,2000-07-14 06:57:00,2000-07-14 07:05:00,C7.1,C,7.1,C5-9.9,GOES,5.0,8.0,13.0,2000-07-14,2,0,2,2,0,2,,3.0,2.0,,,0.6,
Flare_20000714_40,2000-07-14 09:51:00,2000-07-14 09:55:00,2000-07-14 09:59:00,C5.9,C,5.9,C5-9.9,GOES,4.0,4.0,8.0,2000-07-14,22,18,22,4,0,4,23.0,27.0,1.0,170.0,178.0,6.75,5.75
Flare_20000714_41,2000-07-14 10:03:00,2000-07-14 10:24:00,2000-07-14 10:43:00,X5.7,X,5.7,X5-+,GOES,21.0,19.0,40.0,2000-07-14,0,0,0,0,0,0,,,,25.0,29.0,,
Flare_20000714_42,2000-07-14 13:44:00,2000-07-14 13:52:00,2000-07-14 14:00:00,M3.7,M,3.7,M1-4.9,GOES,8.0,8.0,16.0,2000-07-14,0,0,0,0,0,0,,,,,,,
Flare_20001124_55,2000-11-24 02:02:00,2000-11-24 02:16:00,2000-11-24 02:25:00,C5.9,C,5.9,C5-9.9,GOES,14.0,9.0,23.0,2000-11-24,9,5,9,4,0,4,5.0,19.0,1.0,,,1.3571428571428572,0.35714285714285715
Flare_20001124_57,2000-11-24 04:55:00,2000-11-24 05:02:00,2000-11-24 05:08:00,X2.0,X,2.0,X1-4.9,GOES,7.0,6.0,13.0,2000-11-24,0,0,0,0,0,0,,,,157.0,166.0,,
Flare_20001124_58,2000-11-24 07:36:00,2000-11-24 07:47:00,2000-11-24 07:56:00,C4.2,C,4.2,C1-4.9,GOES,11.0,9.0,20.0,2000-11-24,15,13,15,2,0,2,17.0,28.0,4.0,159.0,165.0,2.5454545454545454,1.5454545454545454
Flare_20001124_59,2000-11-24 11:34:00,2000-11-24 11:38:00,2000-11-24 11:44:00,C2.4,C,2.4,C1-4.9,GOES,4.0,6.0,10.0,2000-11-24,9,5,9,4,0,4,5.0,9.0,1.0,,,2.25,1.25
Flare_20001124_60,2000-11-24 13:15:00,2000-11-24 13:19:00,2000-11-24 13:21:00,C2.6,C,2.6,C1-4.9,GOES,4.0,2.0,6.0,2000-11-24,5,3,5,2,0,2,28.0,32.0,1.0,95.0,101.0,8.0,7.0
Flare_20001124_61,2000-11-24 14:51:00,2000-11-24 15:13:00,2000-11-24 15:21:00,X2.3,X,2.3,X1-4.9,GOES,22.0,8.0,30.0,2000-11-24,13,5,13,8,0,8,26.0,48.0,13.0,112.0,114.0,2.1818181818181817,1.1818181818181819
Flare_20001124_62,2000-11-24 21:13:00,2000-11-24 21:16:00,2000-11-24 21:18:00,C2.4,C,2.4,C1-4.9,GOES,3.0,2.0,5.0,2000-11-24,4,1,4,3,0,3,1.0,4.0,1.0,,,1.3333333333333333,0.3333333333333333
Flare_20001124_63,2000-11-24 21:43:00,2000-11-24 21:59:00,2000-11-24 22:12:00,X1.8,X,1.8,X1-4.9,GOES,16.0,13.0,29.0,2000-11-24,11,6,11,5,0,5,12.0,28.0,8.0,41.0,43.0,1.75,0.75
Flare_20001125_65,2000-11-25 09:06:00,2000-11-25 09:20:00,2000-11-25 09:40:00,M3.5,M,3.5,M1-4.9,GOES,14.0,20.0,34.0,2000-11-25,5,3,5,2,0,2,8.0,22.0,11.0,,,1.5714285714285714,0.5714285714285714
Flare_20001125_66,2000-11-25 14:16:00,2000-11-25 14:20:00,2000-11-25 14:25:00,C2.1,C,2.1,C1-4.9,GOES,4.0,5.0,9.0,2000-11-25,2,0,2,2,0,2,,2.0,1.0,,,0.5,
Flare_20001125_67,2000-11-25 15:29:00,2000-11-25 15:35:00,2000-11-25 15:37:00,C3.3,C,3.3,C1-4.9,GOES,6.0,2.0,8.0,2000-11-25,4,2,4,2,0,2,11.0,17.0,1.0,70.0,75.0,2.8333333333333335,1.8333333333333333
Flare_20001125_70,2000-11-25 18:33:00,2000-11-25 18:44:00,2000-11-25 18:55:00,X1.9,X,1.9,X1-4.9,GOES,11.0,11.0,22.0,2000-11-25,4,1,4,3,0,3,1.0,12.0,9.0,,,1.0909090909090908,0.09090909090909091
Flare_20001126_73,2000-11-26 11:31:00,2000-11-26 11:38:00,2000-11-26 11:45:00,C2.8,C,2.8,C1-4.9,GOES,7.0,7.0,14.0,2000-11-26,5,2,5,3,0,3,10.0,17.0,1.0,,,2.4285714285714284,1.4285714285714286
Flare_20001126_74,2000-11-26 12:37:00,2000-11-26 12:41:00,2000-11-26 12:44:00,C3.4,C,3.4,C1-4.9,GOES,4.0,3.0,7.0,2000-11-26,6,2,6,4,0,4,2.0,6.0,1.0,56.0,63.0,1.5,0.5
Flare_20001126_75,2000-11-26 15:08:00,2000-11-26 15:12:00,2000-11-26 15:15:00,C2.2,C,2.2,C1-4.9,GOES,4.0,3.0,7.0,2000-11-26,0,0,0,0,0,0,,,,148.0,151.0,,
Flare_20001126_76,2000-11-26 16:34:00,2000-11-26 16:48:00,2000-11-26 16:56:00,X4.0,X,4.0,X1-4.9,GOES,14.0,8.0,22.0,2000-11-26,5,2,5,3,0,3,2.0,16.0,12.0,93.0,96.0,1.1428571428571428,0.14285714285714285
Flare_20010412_121,2001-04-11 23:56:00,2001-04-12 00:08:00,2001-04-12 00:25:00,C7.7,C,7.7,C5-9.9,GOES,12.0,17.0,29.0,2001-04-12,0,0,0,0,0,0,,,,,,,
Flare_20010412_122,2001-04-12 02:27:00,2001-04-12 02:32:00,2001-04-12 02:38:00,B7.2,B,7.2,B5-9.9,GOES,5.0,6.0,11.0,2001-04-12,1,0,1,1,0,1,,1.0,1.0,127.0,144.0,0.2,
Flare_20010412_123,2001-04-12 02:56:00,2001-04-12 03:04:00,2001-04-12 03:29:00,M1.3,M,1.3,M1-4.9,GOES,8.0,25.0,33.0,2001-04-12,0,0,0,0,0,0,,,,26.0,32.0,,
Flare_20010412_125,2001-04-12 14:54:00,2001-04-12 15:01:00,2001-04-12 15:04:00,C1.1,C,1.1,C1-4.9,GOES,7.0,3.0,10.0,2001-04-12,1,0,1,1,0,1,,1.0,1.0,,,0.14285714285714285,
Flare_20010412_126,2001-04-12 16:28:00,2001-04-12 16:29:00,2001-04-12 16:31:00,C1.0,C,1.0,C1-4.9,GOES,1.0,2.0,3.0,2001-04-12,1,1,1,0,0,0,9.0,10.0,10.0,85.0,88.0,10.0,9.0
Flare_20010412_127,2001-04-12 16:56:00,2001-04-12 17:01:00,2001-04-12 17:05:00,B9.4,B,9.4,B5-9.9,GOES,5.0,4.0,9.0,2001-04-12,2,1,2,1,0,1,24.0,29.0,1.0,30.0,32.0,5.8,4.8
Flare_20010415_128,2001-04-15 04:04:00,2001-04-15 04:08:00,2001-04-15 04:12:00,C2.2,C,2.2,C1-4.9,GOES,4.0,4.0,8.0,2001-04-15,2,2,2,0,0,0,19.0,23.0,22.0,,,5.75,4.75
Flare_20010415_129,2001-04-15 04:27:00,2001-04-15 04:32:00,2001-04-15 04:35:00,C1.0,C,1.0,C1-4.9,GOES,5.0,3.0,8.0,2001-04-15,1,0,1,1,0,1,,1.0,1.0,20.0,24.0,0.2,
Flare_20010415_130,2001-04-15 05:53:00,2001-04-15 06:14:00,2001-04-15 06:39:00,C3.6,C,3.6,C1-4.9,GOES,21.0,25.0,46.0,2001-04-15,12,8,12,4,0,4,22.0,43.0,13.0,99.0,102.0,2.0476190476190474,1.0476190476190477
Flare_20010415_131,2001-04-15 07:50:00,2001-04-15 08:01:00,2001-04-15 08:15:00,C6.7,C,6.7,C5-9.9,GOES,11.0,14.0,25.0,2001-04-15,0,0,0,0,0,0,,,,82.0,107.0,,
Flare_20010415_132,2001-04-15 08:26:00,2001-04-15 08:45:00,2001-04-15 09:07:00,C7.7,C,7.7,C5-9.9,GOES,19.0,22.0,41.0,2001-04-15,0,0,0,0,0,0,,,,30.0,44.0,,
