StartTime,EndTime,Class,Observatory,PeakTime
2000-06-06 00:28:00,2000-06-06 00:55:00,C4.6,GOES,2000-06-06 00:43:00
2000-06-06 01:30:00,2000-06-06 02:01:00,C2.4,GOES,2000-06-06 01:49:00
2000-06-06 08:06:00,2000-06-06 08:34:00,C2.8,GOES,2000-06-06 08:16:00
2000-06-06 08:47:00,2000-06-06 08:54:00,C2.4,GOES,2000-06-06 08:51:00
2000-06-06 11:23:00,2000-06-06 11:29:00,C1.8,GOES,2000-06-06 11:27:00
2000-06-06 11:40:00,2000-06-06 11:51:00,C2.5,GOES,2000-06-06 11:45:00
2000-06-06 12:00:00,2000-06-06 12:25:00,C7.5,GOES,2000-06-06 12:18:00
2000-06-06 13:10:00,2000-06-06 13:28:00,M2.7,GOES,2000-06-06 13:19:00
2000-06-06 13:30:00,2000-06-06 13:46:00,X1.1,GOES,2000-06-06 13:39:00
2000-06-06 13:56:00,2000-06-06 14:11:00,M7.1,GOES,2000-06-06 14:01:00
2000-06-06 14:58:00,2000-06-06 15:40:00,X2.3,GOES,2000-06-06 15:25:00
2000-06-07 02:37:00,2000-06-07 02:59:00,C2.2,GOES,2000-06-07 02:52:00
2000-06-07 03:54:00,2000-06-07 04:08:00,C2.8,GOES,2000-06-07 04:02:00
2000-06-07 04:37:00,2000-06-07 04:52:00,M2.2,GOES,2000-06-07 04:44:00
2000-06-07 11:55:00,2000-06-07 12:03:00,C2.1,GOES,2000-06-07 12:01:00
2000-06-07 12:29:00,2000-06-07 12:36:00,C1.7,GOES,2000-06-07 12:33:00
2000-06-07 15:34:00,2000-06-07 16:06:00,X1.2,GOES,2000-06-07 15:53:00
2000-06-07 21:04:00,2000-06-07 21:28:00,C2.1,GOES,2000-06-07 21:21:00
2000-06-18 01:52:00,2000-06-18 02:03:00,X1.0,GOES,2000-06-18 01:59:00
2000-06-18 16:59:00,2000-06-18 17:06:00,C1.4,GOES,2000-06-18 17:03:00
2000-07-11 03:43:00,2000-07-11 03:55:00,C7.6,GOES,2000-07-11 03:48:00
2000-07-11 06:44:00,2000-07-11 06:51:00,C5.7,GOES,2000-07-11 06:47:00
2000-07-11 07:53:00,2000-07-11 08:29:00,C4.7,GOES,2000-07-11 07:57:00
2000-07-11 11:32:00,2000-07-11 11:52:00,M4.2,GOES,2000-07-11 11:41:00
2000-07-11 12:12:00,2000-07-11 13:35:00,X1,GOES,2000-07-11 13:10:00
2000-07-11 18:47:00,2000-07-11 19:08:00,M1.1,GOES,2000-07-11 18:58:00
2000-07-11 21:01:00,2000-07-11 21:11:00,C7.3,GOES,2000-07-11 21:06:00
2000-07-11 22:40:00,2000-07-11 22:52:00,C5.5,GOES,2000-07-11 22:44:00
2000-07-11 23:54:00,2000-07-12 00:20:00,C6.8,GOES,2000-07-12 00:09:00
2000-07-12 01:51:00,2000-07-12 02:11:00,C5.3,GOES,2000-07-12 01:58:00
2000-07-12 04:55:00,2000-07-12 05:09:00,M1.2,GOES,2000-07-12 05:02:00
2000-07-12 09:11:00,2000-07-12 09:17:00,C5.3,GOES,2000-07-12 09:15:00
2000-07-12 10:18:00,2000-07-12 10:46:00,X1.9,GOES,2000-07-12 10:37:00
2000-07-12 16:06:00,2000-07-12 18:06:00,M1,GOES,2000-07-12 16:52:00
2000-07-12 18:41:00,2000-07-12 19:07:00,M5.7,GOES,2000-07-12 18:49:00
2000-07-12 21:37:00,2000-07-12 21:43:00,M1.9,GOES,2000-07-12 21:40:00
2000-07-14 00:20:00,2000-07-14 00:26:00,C4.9,GOES,2000-07-14 00:23:00
2000-07-14 00:39:00,2000-07-14 00:50:00,M1.5,GOES,2000-07-14 00:45:00
